,APN,Address,Sales Date,Sales Price,Building Area (Sq. Ft.),Beds,Baths,Stories,Year Built,neighborhood
2,1102924230046,2525 UNIVERSITY AVE NE,"Oct 11, 2022","$275,000",921,3,1,1.50,1915,Holland
1,0902924330163,2642 MORGAN AVE N,"Oct 10, 2022","$130,000",1262,3,1,1.20,1940,Jordan
2,0902924320041,2927 OLIVER AVE N,"Oct 7, 2022","$265,000",1285,5,2,1.00,2002,Jordan
3,0802924440024,2700 RUSSELL AVE N,"Oct 13, 2022","$250,000",1128,5,2,1.00,1998,Jordan
1,2102824110203,5529 ALDRICH AVE S,"Nov 8, 2022","$372,700",1156,3,2,1.20,1940,Kenny
2,2102824120114,5532 FREMONT AVE S,"Oct 3, 2022","$440,000",1122,2,2,1.00,1955,Kenny
3,2102824310083,5922 SUNRISE DR,"Oct 26, 2022","$415,000",1778,4,2,1.50,1952,Kenny
1,0302824430143,3746 1ST AVE S,"Oct 20, 2022","$355,000",1367,3,3,2.00,1907,King Field
2,1002824420067,4327 1ST AVE S,"Oct 20, 2022","$303,000",1004,2,1,1.00,1915,King Field
3,1002824240223,4155 BLAISDELL AVE,"Oct 21, 2022","$579,000",2016,4,2,2.20,1916,King Field
4,1002824340124,4519 BLAISDELL AVE,"Oct 14, 2022","$345,000",1024,2,2,1.70,1908,King Field
5,1002824330211,4413 HARRIET AVE,"Nov 1, 2022","$891,000",2304,5,4,2.00,2014,King Field
6,1002824330088,4421 HARRIET AVE,"Oct 24, 2022","$460,000",942,2,2,1.00,1920,King Field
7,1002824120040,3840 STEVENS AVE,"Oct 13, 2022","$330,000",1440,3,1,2.00,1916,King Field
1,1211821230286,1110 50TH AVE N,"Nov 1, 2022","$368,000",1684,3,3,2.00,2019,Lind - Bohanon
2,1211821340154,4530 ALDRICH AVE N,"Oct 4, 2022","$113,000",588,1,1,1.00,1924,Lind - Bohanon
3,1211821210005,5137 ALDRICH AVE N,"Oct 19, 2022","$227,000",1116,3,1,1.20,1954,Lind - Bohanon
4,1211821310009,4727 CAMDEN AVE N,"Oct 18, 2022","$250,000",1448,3,1,1.50,1923,Lind - Bohanon
5,1211821220170,5143 DUPONT AVE N,"Oct 28, 2022","$164,437",720,2,2,1.00,1949,Lind - Bohanon
6,1211821230159,4920 GIRARD AVE N,"Oct 18, 2022","$140,000",720,2,1,1.00,1950,Lind - Bohanon
1,0802824340051,4421 ZENITH AVE S,"Oct 12, 2022","$725,000",2070,3,3,2.00,1910,Linden Hills
1,0302824220116,3145 LYNDALE AVE S,"Oct 5, 2022","$250,000",1898,3,1,1.50,1904,Lyndale
1,1002924110104,2710 GRAND ST NE,"Oct 21, 2022","$305,000",1164,3,1,1.20,1955,Marshall Terrace
2,1002924110143,2747 GRAND ST NE,"Oct 21, 2022","$240,000",1104,3,1,1.20,1951,Marshall Terrace
1,3502924240086,2548 12TH AVE S,"Nov 3, 2022","$324,900",1774,3,2,1.50,1923,Midtown Phillips
2,3502924130392,2507 15TH AVE S,"Oct 21, 2022","$200,000",650,3,1,1.20,1931,Midtown Phillips
3,3502924430158,2930 15TH AVE S,"Oct 27, 2022","$230,000",1287,2,1,1.70,1900,Midtown Phillips
1,1702823330068,5340 48TH AVE S,"Oct 7, 2022","$299,900",924,2,2,1.50,1915,Minnehaha
1,1902823140045,5657 44TH AVE S,"Oct 7, 2022","$305,000",868,2,1,1.20,1946,Morris Park
1,2102924210136,1037 JAMES AVE N,"Oct 7, 2022","$255,000",1568,3,3,2.00,2001,Near - North
1,1402824210012,4728 12TH AVE S,"Nov 4, 2022","$569,000",2042,5,3,1.20,1928,Northrop
2,1402824240081,4832 12TH AVE S,"Oct 11, 2022","$523,000",1610,4,2,1.50,1930,Northrop
3,1102824420188,4317 14TH AVE S,"Oct 25, 2022","$410,000",1238,3,2,1.20,1947,Northrop
4,1102824440110,4445 17TH AVE S,"Oct 24, 2022","$325,000",1092,2,2,2.00,1924,Northrop
5,1102824440107,4457 17TH AVE S,"Oct 14, 2022","$525,000",1191,3,2,2.00,1923,Northrop
6,1102824440187,4545 18TH AVE S,"Oct 3, 2022","$375,000",2076,3,3,1.70,1925,Northrop
7,1402824110091,4733 18TH AVE S,"Oct 14, 2022","$287,000",664,2,1,1.20,1923,Northrop
1,1502824440042,5312 CLINTON AVE,"Oct 13, 2022","$565,000",1799,3,2,1.70,1932,Page
2,1502824410029,5112 LUVERNE AVE,"Nov 3, 2022","$430,000",1242,3,2,2.00,1926,Page
1,0202824340127,3609 10TH AVE S,"Oct 20, 2022","$249,900",1052,2,1,1.70,1910,Powderhorn Park
2,0202824310045,3525 11TH AVE S,"Oct 13, 2022","$260,500",1308,3,1,2.00,1900,Powderhorn Park
3,0202824430069,3636 14TH AVE S,"Oct 17, 2022","$252,500",796,3,1,1.00,1912,Powderhorn Park
4,0202824430022,3629 15TH AVE S,"Oct 7, 2022","$300,000",1212,3,1,1.20,1923,Powderhorn Park
5,0202824420118,1412 36TH ST E,"Nov 7, 2022","$315,000",704,2,2,1.00,1914,Powderhorn Park
6,0202824440160,1808 38TH ST E,"Oct 6, 2022","$275,000",969,3,2,1.50,1900,Powderhorn Park
1,1102824320202,4315 OAKLAND AVE,"Oct 21, 2022","$507,000",1107,2,2,1.00,1932,Regina
1,1402924240206,401 13TH AVE NE,"Oct 28, 2022","$255,000",1157,2,1,1.70,1900,Sheridan
2,1402924240030,1201 4TH ST NE,"Oct 14, 2022","$309,000",1200,2,2,1.20,1923,Sheridan
3,1402924240206,1305 4TH ST NE,"Oct 28, 2022","$255,000",1157,2,1,1.70,1900,Sheridan
1,1111821110013,5241 KNOX AVE N,"Oct 3, 2022","$275,000",1381,3,1,1.50,1925,Shingle Creek
2,1111821130085,4958 OLIVER AVE N,"Oct 21, 2022","$244,900",1148,3,1,1.20,1953,Shingle Creek
3,1111821240179,4947 RUSSELL AVE N,"Oct 12, 2022","$188,237",1313,4,3,1.20,1960,Shingle Creek
4,1111821210015,5209 RUSSELL AVE N,"Oct 27, 2022","$295,000",1190,3,2,1.00,1957,Shingle Creek
1,0402824420170,3550 FREMONT AVE S,"Oct 3, 2022","$635,000",1749,3,2,1.70,1907,South Uptown
1,1402924420108,727 JEFFERSON ST NE,"Oct 7, 2022","$440,000",1652,3,2,1.50,1904,St. Anthony East
1,0102824330166,3709 20TH AVE S,"Oct 27, 2022","$367,000",1276,3,2,1.20,1924,Standish
2,0102824330163,3721 20TH AVE S,"Oct 21, 2022","$300,000",1142,3,1,1.20,1924,Standish
3,1202824230021,4033 20TH AVE S,"Nov 1, 2022","$300,000",932,2,2,1.00,1921,Standish
4,1202824230042,4048 20TH AVE S,"Nov 4, 2022","$332,500",1300,4,2,1.20,1923,Standish
5,1202824240096,4024 22ND AVE S,"Oct 3, 2022","$252,900",864,2,1,1.00,1910,Standish
6,0102824340095,3604 23RD AVE S,"Oct 25, 2022","$210,000",816,2,1,1.00,1920,Standish
7,1202824210178,3904 24TH AVE S,"Oct 20, 2022","$312,000",948,3,2,1.20,1926,Standish
8,1202824110168,3921 30TH AVE S,"Oct 21, 2022","$345,000",896,3,2,1.00,1925,Standish
9,1202824110165,3933 30TH AVE S,"Nov 2, 2022","$310,000",624,3,2,1.00,1912,Standish
10,0102824340089,2312 36 1/2 ST E,"Oct 10, 2022","$278,000",1097,3,1,1.70,1916,Standish
11,1202824310084,2100 43RD ST E,"Nov 28, 2022","$630,000",2584,3,3,2.00,1945,Standish
1,1111821430066,4555 NEWTON AVE N,"Oct 14, 2022","$150,000",668,2,1,1.00,1927,Victory
2,1411821210039,4425 PENN AVE N,"Oct 12, 2022","$221,000",816,2,1,1.20,1923,Victory
3,0502924410063,3922 RUSSELL AVE N,"Oct 27, 2022","$232,000",1067,3,1,1.20,1940,Victory
4,0502924420076,3830 UPTON AVE N,"Oct 27, 2022","$210,000",736,2,1,1.20,1924,Victory
5,0502924420104,3830 VINCENT AVE N,"Oct 27, 2022","$215,000",726,2,1,1.00,1909,Victory
1,0102924110013,3510 BENJAMIN ST NE,"Nov 2, 2022","$295,000",1651,4,2,1.70,1950,Waite Park
2,0102924210175,3526 BUCHANAN ST NE,"Oct 3, 2022","$421,000",1016,3,2,1.00,1961,Waite Park
1,0402924210182,1815 44TH AVE N,"Oct 7, 2022","$201,500",848,2,1,1.00,1942,Webber - Camden
2,0402924410012,3915 BRYANT AVE N,"Oct 6, 2022","$211,600",1041,2,1,1.50,1925,Webber - Camden
3,0402924410213,3819 COLFAX AVE N,"Oct 20, 2022","$259,000",1300,4,3,1.50,1926,Webber - Camden
4,0402924420107,3946 FREMONT AVE N,"Oct 7, 2022","$205,000",1328,2,1,1.20,1922,Webber - Camden
5,0402924130053,4046 FREMONT AVE N,"Oct 21, 2022","$179,900",1229,4,1,1.50,1898,Webber - Camden
1,0802924430095,2732 VINCENT AVE N,"Nov 3, 2022","$453,000",1888,3,3,1.20,1926,Willard - Hay
1,2202824240099,5601 BLAISDELL AVE,"Oct 21, 2022","$425,000",1384,3,2,1.20,1927,Windom
2,2202824320087,5809 GARFIELD AVE,"Oct 14, 2022","$500,000",1720,3,3,2.00,1929,Windom
3,2202824230037,5730 PLEASANT AVE,"Oct 28, 2022","$505,000",1210,3,3,1.20,1940,Windom
